bin, Red Channel, Green Channel, Blue Channel
0,25,1,23
1,0,0,0
2,0,1,1
3,0,0,0
4,0,1,0
5,0,0,1
6,0,1,1
7,0,0,0
8,0,0,0
9,1,1,0
10,1,0,0
11,1,0,1
12,0,0,1
13,1,0,1
14,2,0,0
15,2,0,2
16,0,0,1
17,0,1,1
18,1,0,1
19,0,0,0
20,0,0,0
21,0,2,1
22,1,3,2
23,3,1,1
24,2,0,2
25,6,0,2
26,5,0,1
27,3,0,2
28,2,0,2
29,4,0,3
30,5,0,4
31,3,0,6
32,5,1,3
33,2,0,3
34,1,0,3
35,1,0,4
36,0,0,3
37,0,2,0
38,0,0,0
39,0,1,1
40,0,0,0
41,0,1,0
42,0,0,0
43,0,0,0
44,0,0,0
45,2,0,0
46,0,1,0
47,1,0,0
48,4,2,0
49,3,0,0
50,2,1,1
51,2,0,0
52,2,0,1
53,1,0,0
54,0,0,2
55,1,0,2
56,1,0,1
57,1,0,3
58,0,3,2
59,0,0,2
60,1,0,2
61,0,0,2
62,2,0,2
63,1,1,0
64,3,0,0
65,2,0,0
66,1,0,2
67,2,0,1
68,0,0,0
69,1,0,0
70,0,0,1
71,0,0,2
72,0,0,1
73,0,0,1
74,0,0,0
75,1,0,1
76,1,0,0
77,2,0,0
78,0,0,0
79,0,0,2
80,1,0,1
81,1,0,1
82,2,0,0
83,1,0,0
84,0,0,0
85,0,0,0
86,1,0,0
87,1,0,0
88,2,0,0
89,2,0,0
90,0,0,0
91,0,0,1
92,0,0,1
93,0,0,0
94,1,0,0
95,0,0,3
96,1,0,1
97,0,0,0
98,0,0,1
99,1,0,1
100,2,0,1
101,1,0,0
102,1,0,0
103,2,0,0
104,1,0,1
105,0,0,0
106,0,0,2
107,0,0,1
108,0,0,2
109,0,0,0
110,0,0,1
111,0,0,0
112,0,0,0
113,0,0,0
114,1,0,1
115,0,0,0
116,1,0,0
117,2,0,0
118,2,0,1
119,1,0,2
120,0,0,0
121,2,0,0
122,2,0,2
123,2,0,1
124,1,0,0
125,0,0,1
126,4,0,1
127,3,0,0
128,0,0,0
129,0,0,0
130,2,0,0
131,1,0,1
132,1,0,1
133,0,0,1
134,3,0,0
135,2,0,1
136,2,0,0
137,3,0,2
138,6,1,0
139,2,0,1
140,3,0,0
141,3,1,1
142,3,3,1
143,4,2,1
144,3,1,0
145,3,0,1
146,5,2,2
147,8,0,3
148,4,2,1
149,6,3,1
150,3,1,1
151,11,1,0
152,11,1,2
153,9,6,0
154,17,5,2
155,12,4,0
156,17,1,0
157,30,4,1
158,30,4,0
159,40,9,2
160,43,14,3
161,56,11,1
162,66,17,3
163,105,12,3
164,109,27,3
165,136,37,3
166,198,42,1
167,249,49,5
168,311,63,5
169,374,93,1
170,464,87,3
171,488,107,4
172,570,165,4
173,709,180,7
174,725,251,5
175,727,301,8
176,709,378,7
177,721,421,6
178,694,552,8
179,558,613,6
180,475,645,10
181,360,746,20
182,287,702,21
183,183,717,21
184,120,743,25
185,90,686,27
186,38,574,34
187,16,474,40
188,11,360,52
189,3,268,67
190,4,191,71
191,1,116,119
192,0,96,130
193,0,46,174
194,0,14,231
195,0,12,263
196,0,10,350
197,0,6,435
198,0,1,542
199,0,1,556
200,0,1,718
201,0,0,702
202,0,1,813
203,0,1,844
204,0,0,777
205,0,1,685
206,0,0,622
207,0,0,481
208,0,4,316
209,0,0,242
210,0,3,158
211,0,3,114
212,0,2,45
213,0,3,23
214,0,5,15
215,0,3,3
216,0,0,5
217,0,1,2
218,0,2,0
219,0,1,0
220,0,5,0
221,0,4,0
222,0,3,0
223,0,1,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,1,0
228,0,0,0
229,0,0,0
230,0,1,0
231,0,4,0
232,0,5,0
233,0,6,0
234,0,8,0
235,0,3,0
236,0,2,0
237,0,6,0
238,0,4,0
239,0,2,0
240,0,2,0
241,0,0,0
242,0,1,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,1,0
247,0,2,0
248,0,1,0
249,0,1,0
250,0,2,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
