bin, Red Channel, Green Channel, Blue Channel
0,23,1,23
1,0,1,0
2,0,0,1
3,1,3,0
4,1,0,1
5,0,0,0
6,2,0,1
7,2,0,0
8,2,0,2
9,2,0,0
10,1,0,1
11,1,0,2
12,0,0,0
13,0,0,2
14,2,0,2
15,2,1,0
16,0,0,1
17,0,0,2
18,1,0,0
19,0,1,0
20,2,2,1
21,2,2,0
22,3,0,1
23,4,1,1
24,4,0,1
25,1,0,1
26,7,1,1
27,5,0,8
28,4,0,2
29,9,0,2
30,7,0,14
31,1,0,6
32,3,0,4
33,2,0,2
34,0,0,1
35,0,0,4
36,0,0,2
37,0,3,3
38,1,1,1
39,1,0,1
40,0,0,0
41,1,0,0
42,1,0,1
43,1,0,0
44,0,0,1
45,0,0,0
46,0,2,0
47,0,1,0
48,1,2,0
49,3,3,3
50,5,1,0
51,3,1,1
52,2,6,2
53,2,9,1
54,4,13,3
55,1,13,3
56,6,17,3
57,2,30,2
58,5,53,2
59,6,80,4
60,5,133,3
61,2,199,3
62,3,322,5
63,1,450,2
64,0,582,3
65,2,758,2
66,3,931,2
67,4,1012,5
68,7,1094,2
69,3,1048,4
70,4,1019,0
71,5,1018,3
72,19,789,1
73,21,670,6
74,32,551,6
75,50,369,6
76,92,259,5
77,143,202,4
78,240,123,11
79,331,67,8
80,462,49,13
81,645,25,10
82,804,16,12
83,914,10,19
84,1048,2,25
85,1078,4,44
86,1110,6,41
87,1100,4,78
88,875,2,113
89,808,3,184
90,674,2,261
91,495,4,390
92,342,0,469
93,254,2,673
94,137,1,791
95,98,1,941
96,65,0,998
97,39,1,1038
98,21,2,1041
99,12,2,944
100,5,3,905
101,1,3,705
102,2,4,627
103,0,1,495
104,3,1,359
105,1,0,247
106,1,2,186
107,0,1,110
108,0,1,80
109,0,1,52
110,0,0,27
111,0,0,9
112,0,0,3
113,0,1,4
114,0,0,2
115,0,1,2
116,0,0,0
117,0,0,1
118,0,0,0
119,0,3,0
120,0,0,0
121,0,0,0
122,0,1,0
123,0,1,0
124,0,0,0
125,0,0,0
126,0,2,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,1,0
135,0,0,0
136,0,0,0
137,0,1,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,1,0
142,0,0,0
143,0,1,0
144,0,1,0
145,0,0,0
146,0,0,0
147,0,1,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,0,0,0
180,0,0,0
181,0,0,0
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,0,0,0
188,0,0,0
189,0,0,0
190,0,1,0
191,0,1,0
192,0,1,0
193,0,0,0
194,0,0,0
195,0,1,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,0,1,0
202,0,0,0
203,0,1,0
204,0,1,0
205,0,1,0
206,0,2,0
207,0,1,0
208,0,1,0
209,0,1,0
210,0,0,0
211,0,0,0
212,0,1,0
213,0,1,0
214,0,1,0
215,0,2,0
216,0,3,0
217,0,7,0
218,0,2,0
219,0,3,0
220,0,1,0
221,0,1,0
222,0,0,0
223,0,0,0
224,0,1,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,1,0
231,0,2,0
232,0,5,0
233,0,3,0
234,0,3,0
235,0,7,0
236,0,6,0
237,0,5,0
238,0,4,0
239,0,3,0
240,0,4,0
241,0,1,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,1,0
247,0,1,0
248,0,2,0
249,0,1,0
250,0,2,0
251,0,0,0
252,0,1,0
253,0,0,0
254,0,0,0
255,0,0,0
