bin, Red Channel, Green Channel, Blue Channel
0,1140,700,1101
1,176,172,22
2,25,92,114
3,85,39,15
4,30,31,80
5,9,28,48
6,15,19,12
7,10,20,12
8,6,16,2
9,7,11,3
10,4,24,5
11,3,27,2
12,7,18,1
13,8,22,4
14,8,31,1
15,7,26,0
16,8,29,5
17,6,26,2
18,11,30,3
19,15,30,1
20,18,29,7
21,22,23,8
22,15,20,7
23,23,23,12
24,20,25,15
25,17,28,7
26,20,27,10
27,28,28,14
28,20,33,6
29,22,34,14
30,16,25,12
31,21,30,16
32,17,23,12
33,27,38,10
34,15,34,15
35,12,41,20
36,15,52,13
37,20,51,11
38,13,44,12
39,11,34,11
40,12,54,8
41,9,55,12
42,14,54,8
43,9,56,12
44,20,66,10
45,16,60,12
46,18,71,9
47,12,66,10
48,16,80,10
49,21,89,5
50,15,71,9
51,20,92,10
52,13,85,12
53,16,94,17
54,16,120,13
55,12,104,11
56,20,102,7
57,12,91,12
58,12,125,8
59,27,100,9
60,13,106,9
61,14,108,9
62,10,112,14
63,15,119,13
64,12,112,6
65,12,137,4
66,13,135,9
67,14,149,5
68,21,137,13
69,15,121,7
70,23,125,9
71,21,135,6
72,19,124,9
73,19,115,7
74,25,94,9
75,24,114,13
76,20,109,8
77,14,87,5
78,28,85,7
79,22,88,7
80,19,106,6
81,20,70,4
82,15,77,6
83,24,74,4
84,22,71,8
85,19,56,3
86,17,53,3
87,30,60,9
88,25,40,6
89,26,44,6
90,21,46,4
91,35,43,3
92,26,29,7
93,29,30,4
94,27,27,5
95,34,19,7
96,42,18,9
97,38,16,6
98,34,14,5
99,43,10,5
100,42,10,5
101,38,11,9
102,31,8,7
103,40,8,4
104,57,7,5
105,49,8,7
106,53,5,2
107,52,1,4
108,48,9,5
109,61,7,3
110,58,4,2
111,64,5,5
112,68,2,2
113,56,3,4
114,64,0,6
115,70,1,5
116,78,4,6
117,73,1,4
118,68,2,6
119,91,3,5
120,97,1,7
121,100,0,5
122,106,1,4
123,108,0,8
124,93,1,5
125,104,1,2
126,115,1,9
127,99,1,5
128,116,0,7
129,124,1,8
130,121,0,10
131,146,1,3
132,129,0,2
133,114,0,1
134,140,0,3
135,125,0,1
136,129,0,6
137,113,0,7
138,91,0,8
139,105,0,6
140,86,0,4
141,75,0,5
142,93,0,4
143,64,0,4
144,78,0,8
145,72,0,5
146,80,0,11
147,65,0,5
148,50,0,3
149,54,0,7
150,45,0,5
151,46,0,7
152,27,0,5
153,35,0,5
154,36,0,4
155,15,0,8
156,22,0,5
157,24,0,7
158,21,0,7
159,15,0,4
160,10,0,6
161,22,0,4
162,10,0,9
163,18,0,2
164,11,0,3
165,10,0,6
166,11,0,5
167,7,0,18
168,9,0,8
169,10,0,8
170,3,0,15
171,3,0,8
172,5,0,9
173,3,0,16
174,2,0,10
175,2,0,7
176,2,1,10
177,1,0,6
178,0,0,9
179,1,0,15
180,2,1,13
181,0,1,13
182,1,2,9
183,0,0,12
184,0,2,16
185,0,4,18
186,0,4,13
187,0,6,21
188,0,7,18
189,0,3,19
190,0,5,21
191,0,3,27
192,0,5,23
193,0,3,20
194,0,4,22
195,0,4,23
196,0,3,27
197,0,2,33
198,0,4,29
199,0,1,26
200,0,2,33
201,0,5,33
202,0,7,39
203,0,9,31
204,0,6,36
205,0,3,41
206,0,15,39
207,0,12,46
208,0,11,42
209,0,9,43
210,0,5,43
211,0,8,43
212,0,8,48
213,0,10,38
214,0,11,44
215,0,16,46
216,0,11,58
217,0,12,46
218,0,17,59
219,0,14,54
220,0,22,60
221,0,17,66
222,0,11,57
223,0,14,64
224,0,15,73
225,0,8,68
226,0,8,86
227,0,16,73
228,0,18,88
229,0,17,85
230,0,14,96
231,0,18,121
232,0,17,104
233,0,22,122
234,0,23,100
235,0,20,125
236,0,18,103
237,0,18,107
238,0,13,137
239,0,6,150
240,0,23,104
241,0,15,133
242,0,13,127
243,0,13,129
244,0,6,138
245,0,6,115
246,0,4,108
247,0,3,131
248,0,1,98
249,0,7,107
250,0,1,116
251,0,4,106
252,0,5,93
253,0,10,83
254,0,10,68
255,0,62,300
