bin, Red Channel, Green Channel, Blue Channel
0,46,2,46
1,0,2,0
2,0,3,1
3,1,0,0
4,1,0,1
5,1,1,0
6,0,1,1
7,0,3,0
8,0,0,0
9,0,2,0
10,2,1,0
11,1,0,1
12,0,0,0
13,0,1,0
14,0,0,0
15,0,1,1
16,0,0,0
17,0,0,0
18,1,1,0
19,1,1,0
20,0,1,0
21,1,1,0
22,0,2,0
23,0,3,1
24,0,1,0
25,1,1,3
26,5,1,1
27,1,0,2
28,4,0,0
29,6,0,1
30,5,0,1
31,0,0,1
32,3,0,3
33,1,0,2
34,2,0,3
35,4,0,1
36,4,2,5
37,4,1,4
38,6,2,0
39,2,0,1
40,0,2,1
41,4,3,2
42,0,1,4
43,2,1,2
44,1,0,1
45,2,0,3
46,0,0,2
47,5,0,1
48,3,1,1
49,2,0,2
50,2,0,1
51,4,0,3
52,3,1,5
53,5,0,1
54,4,0,4
55,3,0,2
56,1,0,2
57,4,0,2
58,1,1,1
59,4,0,3
60,4,0,3
61,3,0,1
62,2,1,1
63,2,1,2
64,1,0,1
65,2,0,6
66,3,3,3
67,2,0,3
68,0,0,4
69,1,0,3
70,3,0,2
71,2,0,4
72,0,0,0
73,0,0,1
74,1,0,1
75,2,0,3
76,5,0,1
77,4,0,1
78,2,0,2
79,3,0,3
80,0,0,1
81,0,0,2
82,0,0,0
83,4,0,2
84,3,0,0
85,2,0,2
86,2,0,1
87,1,1,0
88,3,0,0
89,2,0,0
90,2,2,2
91,1,0,0
92,1,2,1
93,2,7,0
94,1,3,1
95,4,4,1
96,3,7,1
97,1,5,0
98,1,8,2
99,2,8,3
100,3,20,0
101,4,16,2
102,4,22,2
103,8,28,2
104,9,29,1
105,8,34,3
106,7,35,4
107,7,45,2
108,10,42,2
109,6,59,2
110,8,70,3
111,15,92,0
112,22,97,2
113,28,119,1
114,24,174,2
115,23,196,1
116,46,233,2
117,40,284,0
118,62,334,2
119,73,371,1
120,82,424,0
121,74,470,2
122,115,525,0
123,129,515,2
124,178,517,2
125,237,489,4
126,240,515,1
127,289,502,1
128,351,454,3
129,415,432,10
130,468,437,3
131,515,369,6
132,545,311,5
133,565,250,5
134,546,239,6
135,498,208,9
136,535,151,3
137,527,137,13
138,464,126,19
139,392,104,16
140,372,85,20
141,320,85,27
142,274,53,23
143,229,30,33
144,194,21,36
145,181,18,41
146,151,14,49
147,129,11,68
148,106,3,72
149,82,4,98
150,46,2,105
151,40,0,165
152,26,2,198
153,16,1,199
154,12,0,269
155,11,1,284
156,4,0,355
157,1,0,405
158,2,0,463
159,1,0,510
160,0,0,524
161,1,0,531
162,0,0,523
163,0,0,529
164,0,0,511
165,0,0,492
166,0,0,451
167,0,0,464
168,0,0,382
169,0,0,327
170,0,0,266
171,0,0,247
172,0,0,222
173,0,0,155
174,0,0,144
175,0,0,130
176,0,0,103
177,0,0,72
178,0,0,59
179,0,0,40
180,0,0,26
181,0,0,16
182,0,0,10
183,0,2,10
184,0,0,8
185,0,1,2
186,0,0,3
187,0,0,1
188,0,1,0
189,0,0,1
190,0,1,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,1,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,1,0
201,0,1,0
202,0,0,0
203,0,0,0
204,0,3,0
205,0,1,0
206,0,3,0
207,0,0,0
208,0,2,0
209,0,2,0
210,0,2,0
211,0,1,0
212,0,3,0
213,0,5,0
214,0,0,0
215,0,1,0
216,0,4,0
217,0,1,0
218,0,5,0
219,0,3,0
220,0,5,0
221,0,2,0
222,0,0,0
223,0,2,0
224,0,2,0
225,0,1,0
226,0,2,0
227,0,7,0
228,0,2,0
229,0,0,0
230,0,4,0
231,0,6,0
232,0,3,0
233,0,2,0
234,0,2,0
235,0,3,0
236,0,3,0
237,0,1,0
238,0,2,0
239,0,2,0
240,0,0,0
241,0,1,0
242,0,0,0
243,0,1,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,1,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,1,0
254,0,0,0
255,0,0,0
