bin, Red Channel, Green Channel, Blue Channel
0,1100,649,1093
1,273,273,44
2,55,137,229
3,128,52,27
4,48,59,116
5,17,34,59
6,22,28,17
7,11,9,26
8,7,9,14
9,3,5,7
10,4,9,1
11,10,9,2
12,9,6,2
13,10,11,2
14,10,14,5
15,13,15,2
16,14,15,2
17,13,12,3
18,15,11,4
19,12,8,6
20,27,2,13
21,31,6,9
22,26,5,11
23,23,3,10
24,19,3,10
25,19,6,13
26,19,4,10
27,16,2,9
28,19,4,18
29,25,4,25
30,20,8,21
31,13,6,21
32,16,4,12
33,14,3,12
34,19,8,10
35,10,10,16
36,8,9,18
37,13,11,10
38,15,5,17
39,17,7,9
40,13,5,9
41,12,6,9
42,12,6,13
43,6,2,9
44,12,2,7
45,12,2,10
46,9,11,15
47,7,2,19
48,17,5,7
49,6,4,10
50,24,3,16
51,8,3,11
52,12,2,5
53,6,0,18
54,8,3,11
55,12,3,13
56,6,0,8
57,2,0,9
58,5,3,9
59,2,2,11
60,9,1,5
61,9,2,6
62,3,0,8
63,9,0,8
64,4,0,5
65,5,3,4
66,6,2,10
67,5,1,11
68,2,1,12
69,2,1,9
70,5,1,9
71,1,1,5
72,2,1,6
73,1,0,5
74,4,0,7
75,2,3,7
76,5,0,7
77,2,1,6
78,3,0,5
79,4,0,2
80,1,0,2
81,4,0,2
82,1,0,3
83,1,0,4
84,1,0,1
85,4,1,4
86,2,1,4
87,4,1,4
88,1,1,2
89,2,0,6
90,0,2,6
91,1,0,3
92,2,2,4
93,1,0,4
94,2,0,4
95,4,0,4
96,4,0,5
97,2,0,0
98,2,1,3
99,4,0,5
100,4,1,5
101,7,0,3
102,3,1,2
103,7,0,3
104,4,1,1
105,8,1,0
106,8,1,1
107,3,1,0
108,2,1,2
109,3,1,2
110,7,0,2
111,8,0,4
112,4,3,0
113,4,1,1
114,5,0,0
115,3,0,1
116,5,1,2
117,7,1,1
118,6,0,2
119,3,1,1
120,4,2,0
121,3,1,1
122,9,1,1
123,1,1,1
124,6,0,1
125,6,1,1
126,5,0,1
127,7,3,2
128,8,3,0
129,10,1,0
130,4,0,1
131,5,1,1
132,5,1,0
133,7,1,2
134,4,2,1
135,6,0,0
136,9,0,0
137,6,0,0
138,8,2,1
139,4,0,1
140,10,3,1
141,9,0,6
142,9,1,3
143,5,1,0
144,11,2,0
145,10,2,2
146,3,3,4
147,11,0,0
148,9,2,2
149,4,0,1
150,7,0,2
151,6,0,5
152,9,3,4
153,8,1,3
154,14,0,2
155,17,1,2
156,11,0,3
157,10,1,2
158,17,1,3
159,10,2,3
160,12,4,5
161,14,0,2
162,20,1,2
163,18,0,4
164,17,0,2
165,16,2,1
166,18,3,2
167,25,1,1
168,25,1,6
169,30,2,2
170,15,1,6
171,37,0,6
172,35,1,6
173,40,2,6
174,24,0,4
175,45,0,1
176,36,2,1
177,28,3,4
178,35,2,7
179,35,0,8
180,49,1,2
181,47,1,3
182,64,2,3
183,45,4,4
184,64,1,3
185,70,1,2
186,64,3,4
187,68,0,2
188,70,3,0
189,84,2,7
190,97,3,4
191,111,2,6
192,86,2,4
193,131,1,4
194,140,1,3
195,138,1,5
196,144,4,3
197,141,7,4
198,155,7,0
199,162,2,6
200,140,8,6
201,160,12,4
202,132,10,4
203,153,8,3
204,128,8,8
205,123,10,3
206,112,10,2
207,113,15,5
208,104,24,1
209,108,15,4
210,121,12,5
211,116,24,5
212,103,19,3
213,111,23,5
214,164,17,3
215,196,29,3
216,166,21,4
217,160,27,4
218,125,38,5
219,122,37,4
220,132,34,6
221,129,33,5
222,79,35,7
223,66,45,8
224,77,43,4
225,64,43,3
226,74,59,7
227,48,50,8
228,29,60,11
229,21,58,12
230,25,61,8
231,15,68,13
232,13,69,7
233,9,77,2
234,20,81,5
235,19,106,8
236,8,105,6
237,9,106,11
238,8,117,7
239,4,98,8
240,4,140,10
241,3,136,10
242,0,125,12
243,0,166,12
244,0,151,17
245,0,150,27
246,0,181,44
247,0,176,72
248,0,182,71
249,0,198,146
250,0,196,165
251,0,237,249
252,0,314,341
253,0,458,558
254,0,588,724
255,0,2026,3549
