bin, Red Channel, Green Channel, Blue Channel
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,1,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,1,0
101,0,0,0
102,0,1,0
103,0,1,0
104,0,1,0
105,1,1,0
106,0,1,0
107,0,1,0
108,0,1,0
109,1,2,0
110,0,7,0
111,1,3,0
112,1,6,0
113,1,10,0
114,1,23,0
115,1,20,0
116,3,35,0
117,3,72,0
118,4,64,0
119,6,114,0
120,5,119,0
121,13,166,0
122,16,183,0
123,33,208,0
124,58,236,0
125,49,269,0
126,111,254,0
127,101,295,1
128,140,238,0
129,146,233,0
130,195,249,0
131,226,224,1
132,250,205,0
133,279,188,1
134,288,201,1
135,269,182,1
136,277,159,1
137,256,174,1
138,229,195,2
139,253,192,1
140,245,189,2
141,218,204,6
142,230,175,3
143,229,177,7
144,230,166,14
145,262,170,24
146,222,177,28
147,251,196,36
148,202,188,69
149,196,163,77
150,208,188,117
151,232,181,127
152,211,203,176
153,196,165,200
154,245,133,223
155,199,121,290
156,195,98,280
157,162,74,292
158,124,39,318
159,114,52,270
160,67,34,272
161,66,24,277
162,46,17,257
163,42,17,223
164,30,14,210
165,23,13,222
166,21,13,227
167,12,7,243
168,13,12,243
169,13,11,234
170,12,9,208
171,11,6,202
172,16,4,172
173,6,7,207
174,7,11,198
175,8,4,204
176,8,11,191
177,11,11,202
178,9,6,192
179,10,9,202
180,14,10,177
181,9,9,130
182,8,10,120
183,13,13,104
184,14,10,58
185,11,11,50
186,8,9,44
187,11,11,39
188,6,3,31
189,6,5,16
190,6,2,17
191,6,4,18
192,1,4,11
193,6,7,8
194,6,3,12
195,3,2,19
196,3,2,11
197,3,3,8
198,6,7,22
199,8,4,16
200,8,6,9
201,5,6,11
202,15,11,11
203,12,10,13
204,14,15,9
205,18,7,9
206,24,11,6
207,15,13,11
208,8,16,4
209,8,14,5
210,2,14,7
211,2,7,6
212,0,3,12
213,1,1,8
214,0,1,12
215,1,1,6
216,0,1,14
217,0,0,19
218,0,0,13
219,0,0,15
220,0,0,14
221,0,0,8
222,0,0,5
223,0,0,3
224,0,0,2
225,0,0,1
226,0,0,0
227,0,0,1
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
