bin, Red Channel, Green Channel, Blue Channel
0,9,0,8
1,2,0,1
2,0,0,1
3,3,0,0
4,1,0,2
5,1,0,1
6,1,0,3
7,3,0,2
8,4,0,1
9,1,0,3
10,0,0,1
11,1,0,1
12,2,0,0
13,0,0,2
14,1,0,1
15,0,0,2
16,0,0,0
17,3,0,0
18,0,0,1
19,1,0,1
20,2,0,3
21,2,0,1
22,0,0,1
23,2,0,1
24,3,0,2
25,4,0,1
26,7,0,0
27,2,1,3
28,3,0,0
29,1,0,3
30,1,0,0
31,1,0,4
32,1,0,4
33,0,0,1
34,1,0,0
35,1,0,2
36,1,0,2
37,0,0,0
38,0,0,2
39,1,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,1,0,0
46,0,1,2
47,0,0,0
48,0,1,0
49,0,0,0
50,2,0,1
51,1,0,0
52,2,0,0
53,1,0,0
54,2,0,0
55,2,0,2
56,4,0,1
57,0,0,1
58,2,0,0
59,1,0,4
60,1,0,0
61,1,0,1
62,2,0,1
63,3,0,2
64,0,0,2
65,0,0,1
66,1,0,1
67,4,0,1
68,0,0,0
69,1,0,0
70,2,0,1
71,0,2,0
72,0,0,0
73,0,0,2
74,0,0,4
75,0,0,0
76,1,0,0
77,2,2,1
78,0,0,0
79,0,0,1
80,0,3,0
81,0,1,0
82,0,1,2
83,1,2,1
84,0,0,2
85,1,0,1
86,1,3,0
87,6,3,1
88,2,1,1
89,2,4,0
90,2,1,1
91,2,1,0
92,1,2,0
93,2,3,0
94,1,1,0
95,1,0,0
96,5,2,1
97,5,2,1
98,0,2,1
99,2,5,1
100,2,5,0
101,7,5,0
102,2,6,2
103,4,2,1
104,4,6,2
105,5,9,0
106,3,4,1
107,4,7,4
108,1,5,1
109,5,11,0
110,4,10,1
111,3,10,1
112,5,10,0
113,6,11,4
114,4,9,2
115,7,6,0
116,3,2,0
117,8,6,1
118,4,4,2
119,11,14,1
120,6,16,3
121,7,13,3
122,14,11,3
123,7,13,3
124,9,14,3
125,8,20,2
126,8,18,0
127,10,19,1
128,6,24,3
129,9,32,4
130,10,33,5
131,6,38,2
132,16,61,2
133,9,59,9
134,20,70,3
135,10,80,8
136,15,87,3
137,21,104,7
138,30,145,3
139,31,159,8
140,35,162,5
141,36,231,5
142,48,226,6
143,50,252,6
144,59,281,10
145,80,327,7
146,88,386,11
147,84,434,12
148,120,463,11
149,157,473,11
150,170,505,9
151,172,495,4
152,234,443,11
153,218,462,16
154,278,466,9
155,310,447,8
156,313,470,15
157,383,435,15
158,390,368,24
159,444,312,17
160,467,291,24
161,468,230,28
162,479,190,46
163,458,135,44
164,432,105,52
165,460,56,54
166,455,30,81
167,453,19,90
168,419,10,114
169,370,7,134
170,306,2,151
171,293,0,186
172,247,1,197
173,188,1,246
174,124,3,254
175,106,0,271
176,59,0,376
177,32,0,418
178,16,0,452
179,7,0,510
180,10,0,492
181,2,0,544
182,0,0,533
183,0,0,528
184,0,1,511
185,0,0,491
186,0,0,478
187,0,0,461
188,0,0,392
189,0,0,321
190,0,0,307
191,0,2,250
192,0,0,194
193,0,0,132
194,0,0,103
195,0,0,57
196,0,0,30
197,0,0,19
198,0,1,7
199,0,0,7
200,0,0,2
201,0,0,0
202,0,0,0
203,0,0,0
204,0,0,0
205,0,2,0
206,0,0,0
207,0,3,0
208,0,0,0
209,0,2,0
210,0,1,0
211,0,0,0
212,0,1,0
213,0,0,0
214,0,1,0
215,0,0,0
216,0,0,0
217,0,3,0
218,0,3,0
219,0,2,0
220,0,1,0
221,0,2,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,1,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,2,0
233,0,5,0
234,0,1,0
235,0,0,0
236,0,3,0
237,0,1,0
238,0,6,0
239,0,3,0
240,0,2,0
241,0,0,0
242,0,3,0
243,0,2,0
244,0,3,0
245,0,1,0
246,0,4,0
247,0,1,0
248,0,1,0
249,0,0,0
250,0,3,0
251,0,1,0
252,0,2,0
253,0,2,0
254,0,1,0
255,0,7,0
