bin, Red Channel, Green Channel, Blue Channel
0,48,2,43
1,1,4,0
2,0,0,0
3,0,0,1
4,1,0,1
5,1,3,3
6,1,0,1
7,1,0,0
8,1,4,1
9,0,2,0
10,0,0,1
11,0,0,0
12,0,0,0
13,0,0,0
14,0,1,0
15,0,0,0
16,0,0,0
17,0,1,0
18,0,0,0
19,0,3,0
20,1,1,0
21,2,0,0
22,0,3,0
23,1,2,0
24,1,0,0
25,2,2,3
26,5,0,2
27,2,0,1
28,5,1,0
29,2,0,4
30,3,0,1
31,3,0,4
32,0,0,2
33,2,0,1
34,5,0,3
35,3,0,1
36,2,1,4
37,3,1,3
38,0,2,1
39,1,1,3
40,3,1,0
41,1,1,2
42,1,3,3
43,1,1,1
44,2,0,4
45,2,1,1
46,1,1,0
47,1,1,0
48,1,0,2
49,4,0,3
50,4,0,2
51,3,0,2
52,5,0,2
53,5,0,2
54,3,0,3
55,1,0,3
56,1,0,2
57,4,0,1
58,1,1,1
59,1,0,2
60,3,0,1
61,1,0,0
62,1,1,3
63,0,0,0
64,3,0,2
65,1,3,4
66,1,1,3
67,0,0,0
68,1,0,1
69,1,0,2
70,1,0,1
71,1,1,3
72,0,0,2
73,3,0,2
74,0,0,1
75,1,0,2
76,0,0,1
77,2,0,2
78,1,0,0
79,0,0,2
80,0,0,0
81,1,0,2
82,1,0,0
83,0,2,0
84,0,0,1
85,0,0,0
86,1,1,0
87,0,1,0
88,1,1,2
89,1,1,0
90,2,1,0
91,3,0,1
92,2,0,0
93,0,0,1
94,1,0,0
95,2,0,2
96,1,0,0
97,1,0,0
98,0,0,0
99,0,1,0
100,0,2,0
101,1,0,0
102,0,0,0
103,1,0,1
104,0,0,2
105,1,0,3
106,1,1,0
107,1,1,0
108,1,0,1
109,3,0,0
110,2,1,1
111,0,1,0
112,1,0,0
113,1,0,0
114,2,1,0
115,0,1,0
116,1,3,1
117,2,1,0
118,6,1,1
119,3,0,0
120,2,0,1
121,0,0,1
122,3,1,0
123,4,0,0
124,1,1,1
125,2,1,2
126,0,2,1
127,4,1,0
128,4,1,4
129,4,2,0
130,0,1,2
131,1,1,0
132,0,4,2
133,1,0,0
134,0,2,2
135,3,3,0
136,5,0,3
137,4,1,1
138,0,1,0
139,3,1,5
140,5,3,0
141,1,0,1
142,2,4,1
143,3,1,2
144,6,1,1
145,4,1,0
146,7,2,0
147,4,2,3
148,3,1,0
149,7,5,1
150,8,2,0
151,11,6,1
152,5,4,3
153,7,7,1
154,14,5,1
155,14,4,0
156,25,8,2
157,26,3,0
158,30,8,0
159,28,8,0
160,36,5,3
161,56,11,2
162,66,33,3
163,64,15,4
164,114,25,2
165,110,33,4
166,143,51,2
167,178,35,2
168,218,54,5
169,228,65,4
170,327,102,4
171,381,102,3
172,453,135,4
173,532,142,5
174,615,185,5
175,664,207,5
176,681,260,8
177,720,320,4
178,676,398,11
179,686,447,2
180,584,523,9
181,516,567,9
182,444,666,7
183,363,682,18
184,251,698,19
185,165,729,12
186,116,648,16
187,63,544,34
188,41,548,34
189,24,464,43
190,16,347,59
191,6,231,88
192,5,166,75
193,0,129,114
194,0,68,132
195,0,35,174
196,0,14,200
197,0,15,278
198,0,10,327
199,0,2,416
200,0,4,469
201,0,2,594
202,0,4,654
203,0,1,667
204,0,1,783
205,0,2,759
206,0,3,724
207,0,3,711
208,0,1,578
209,0,1,469
210,0,2,393
211,0,2,301
212,0,3,219
213,0,5,123
214,0,1,86
215,0,3,55
216,0,7,27
217,0,3,10
218,0,3,4
219,0,3,7
220,0,4,6
221,0,6,2
222,0,4,0
223,0,2,0
224,0,6,0
225,0,1,0
226,0,3,0
227,0,2,0
228,0,2,0
229,0,4,0
230,0,1,0
231,0,3,0
232,0,6,0
233,0,3,0
234,0,1,0
235,0,3,0
236,0,2,0
237,0,3,0
238,0,4,0
239,0,2,0
240,0,0,0
241,0,2,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,1,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,1,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
