bin, Red Channel, Green Channel, Blue Channel
0,1161,832,1097
1,180,184,28
2,32,124,126
3,65,76,15
4,39,62,68
5,14,64,50
6,10,60,7
7,13,47,15
8,8,45,7
9,9,65,3
10,5,66,2
11,6,58,5
12,8,62,3
13,7,43,3
14,12,57,2
15,8,61,4
16,7,60,5
17,6,73,4
18,10,70,7
19,13,67,2
20,21,89,4
21,21,81,3
22,18,73,8
23,26,96,15
24,24,75,8
25,22,82,6
26,19,80,2
27,23,105,9
28,23,76,14
29,15,113,18
30,29,126,9
31,18,94,14
32,20,102,8
33,16,90,7
34,16,107,8
35,22,124,20
36,9,144,13
37,15,135,6
38,16,127,18
39,9,140,5
40,7,121,13
41,20,124,7
42,13,124,10
43,16,99,9
44,19,133,15
45,13,120,11
46,8,115,12
47,15,116,8
48,20,128,8
49,19,98,7
50,25,98,9
51,18,104,13
52,16,109,16
53,22,93,25
54,17,90,7
55,23,82,9
56,25,71,9
57,20,82,8
58,17,72,6
59,18,52,9
60,16,63,10
61,11,61,9
62,13,60,10
63,18,52,6
64,11,48,10
65,15,35,6
66,14,48,8
67,28,32,4
68,24,27,17
69,10,34,2
70,17,27,8
71,17,20,9
72,24,18,5
73,25,23,7
74,25,21,5
75,22,13,6
76,17,9,12
77,28,14,5
78,22,8,3
79,27,7,7
80,32,4,7
81,32,8,6
82,34,4,8
83,37,2,8
84,33,2,7
85,32,4,7
86,35,5,3
87,43,5,3
88,33,5,2
89,46,2,6
90,55,4,8
91,54,4,5
92,48,5,5
93,67,2,2
94,56,2,4
95,65,2,4
96,80,2,5
97,85,3,5
98,77,3,5
99,92,1,3
100,124,2,2
101,122,0,4
102,127,0,4
103,101,3,5
104,135,1,6
105,119,1,6
106,142,0,4
107,146,1,5
108,144,1,8
109,125,0,9
110,141,0,4
111,128,2,3
112,138,0,10
113,140,2,2
114,149,1,3
115,126,0,7
116,130,1,0
117,142,0,7
118,167,1,7
119,128,2,6
120,102,1,2
121,108,0,7
122,89,1,6
123,85,0,4
124,90,0,6
125,80,0,1
126,78,0,4
127,78,2,3
128,74,0,6
129,70,0,6
130,56,0,9
131,50,0,6
132,40,1,4
133,41,0,7
134,28,1,8
135,35,0,5
136,38,0,5
137,27,0,0
138,20,0,3
139,21,1,3
140,12,0,5
141,13,0,4
142,11,0,2
143,16,0,6
144,14,0,2
145,7,0,5
146,8,1,5
147,2,0,6
148,4,0,7
149,0,0,7
150,1,0,2
151,0,1,3
152,3,0,5
153,1,0,3
154,0,0,4
155,2,0,0
156,0,0,8
157,0,0,7
158,0,0,4
159,0,0,9
160,0,0,10
161,0,0,7
162,0,0,3
163,0,0,7
164,0,0,4
165,0,0,3
166,0,0,5
167,0,0,2
168,0,0,5
169,0,0,4
170,0,0,2
171,0,0,5
172,0,0,8
173,0,0,4
174,0,0,5
175,0,1,10
176,0,2,3
177,0,0,5
178,0,1,8
179,0,5,11
180,0,1,5
181,0,1,5
182,0,2,4
183,0,2,9
184,0,5,4
185,0,4,5
186,0,4,6
187,0,1,9
188,0,9,2
189,0,5,11
190,0,6,6
191,0,1,10
192,0,3,7
193,0,2,5
194,0,1,8
195,0,3,13
196,0,4,7
197,0,4,14
198,0,2,10
199,0,5,12
200,0,7,16
201,0,6,11
202,0,3,12
203,0,7,15
204,0,6,16
205,0,17,26
206,0,7,21
207,0,5,20
208,0,5,21
209,0,10,19
210,0,5,22
211,0,9,26
212,0,11,14
213,0,10,30
214,0,12,34
215,0,13,30
216,0,11,35
217,0,15,25
218,0,15,34
219,0,14,30
220,0,15,43
221,0,18,46
222,0,11,56
223,0,14,42
224,0,17,47
225,0,11,47
226,0,19,58
227,0,7,56
228,0,6,59
229,0,21,48
230,0,19,65
231,0,21,69
232,0,18,60
233,0,21,76
234,0,18,82
235,0,17,83
236,0,14,85
237,0,16,90
238,0,20,89
239,0,18,108
240,0,22,128
241,0,13,101
242,0,13,127
243,0,7,129
244,0,11,120
245,0,7,135
246,0,2,160
247,0,0,159
248,0,3,164
249,0,2,193
250,0,1,200
251,0,3,174
252,0,4,162
253,0,7,175
254,0,10,166
255,0,74,1020
