bin, Red Channel, Green Channel, Blue Channel
0,28,2,26
1,1,0,0
2,1,1,0
3,0,0,1
4,2,0,1
5,1,1,3
6,2,0,1
7,0,1,0
8,3,0,0
9,2,0,0
10,0,0,1
11,1,0,0
12,0,0,3
13,0,0,3
14,1,0,1
15,2,0,0
16,1,1,2
17,0,0,0
18,1,1,0
19,0,2,0
20,3,1,1
21,3,0,3
22,2,0,0
23,2,0,3
24,9,2,1
25,3,1,2
26,5,0,4
27,0,0,2
28,5,0,4
29,5,0,6
30,4,0,1
31,7,0,6
32,2,0,7
33,4,0,3
34,3,0,5
35,1,0,6
36,1,1,2
37,2,2,0
38,2,2,1
39,3,2,1
40,2,1,3
41,1,5,0
42,3,17,1
43,3,13,2
44,0,31,0
45,3,61,3
46,0,88,4
47,1,143,0
48,2,228,4
49,2,323,1
50,7,449,1
51,8,592,1
52,12,747,2
53,9,943,3
54,25,986,2
55,24,1121,6
56,40,1068,3
57,60,1069,3
58,78,963,4
59,139,811,0
60,248,637,5
61,333,485,10
62,460,385,11
63,558,279,11
64,687,187,21
65,856,125,39
66,971,72,44
67,1060,34,86
68,969,25,96
69,1030,23,191
70,932,14,276
71,796,4,343
72,750,5,474
73,533,2,581
74,363,4,647
75,322,2,843
76,233,1,942
77,154,2,1015
78,110,2,1018
79,68,1,1074
80,45,2,892
81,32,3,816
82,12,0,686
83,18,1,488
84,7,2,399
85,11,3,282
86,1,2,225
87,3,0,161
88,5,3,92
89,1,4,74
90,1,0,42
91,0,1,20
92,0,1,21
93,0,1,15
94,0,0,3
95,0,1,9
96,0,0,1
97,0,1,1
98,0,2,1
99,0,1,2
100,0,0,0
101,0,1,0
102,0,1,0
103,0,1,0
104,0,1,0
105,0,3,0
106,0,1,0
107,0,0,0
108,0,1,0
109,0,1,0
110,0,0,0
111,0,0,0
112,0,1,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,1,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,1,0
131,0,0,0
132,0,1,0
133,0,0,0
134,0,0,0
135,0,1,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,1,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,0,0,0
180,0,0,0
181,0,0,0
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,0,1,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,1,0
194,0,2,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,0,0
203,0,1,0
204,0,2,0
205,0,0,0
206,0,1,0
207,0,1,0
208,0,0,0
209,0,2,0
210,0,3,0
211,0,0,0
212,0,1,0
213,0,0,0
214,0,2,0
215,0,1,0
216,0,3,0
217,0,5,0
218,0,1,0
219,0,3,0
220,0,0,0
221,0,1,0
222,0,3,0
223,0,1,0
224,0,0,0
225,0,1,0
226,0,0,0
227,0,0,0
228,0,0,0
229,0,1,0
230,0,0,0
231,0,2,0
232,0,1,0
233,0,5,0
234,0,0,0
235,0,7,0
236,0,8,0
237,0,5,0
238,0,8,0
239,0,4,0
240,0,2,0
241,0,0,0
242,0,2,0
243,0,1,0
244,0,0,0
245,0,2,0
246,0,0,0
247,0,1,0
248,0,0,0
249,0,1,0
250,0,1,0
251,0,0,0
252,0,1,0
253,0,0,0
254,0,0,0
255,0,0,0
