bin, Red Channel, Green Channel, Blue Channel
0,43,3,47
1,2,2,0
2,1,1,0
3,1,0,1
4,1,1,0
5,1,1,0
6,1,2,1
7,0,2,0
8,0,1,1
9,0,2,0
10,0,0,0
11,1,0,0
12,0,0,0
13,1,0,0
14,0,1,0
15,0,1,1
16,0,0,0
17,1,1,0
18,0,0,0
19,0,0,0
20,1,2,0
21,0,2,0
22,1,1,0
23,0,2,0
24,2,1,1
25,0,1,2
26,3,0,1
27,4,1,0
28,2,0,3
29,1,0,1
30,4,0,1
31,2,0,1
32,2,1,2
33,1,0,3
34,5,0,3
35,2,0,2
36,2,2,4
37,2,1,4
38,1,1,2
39,3,1,1
40,4,2,0
41,1,3,2
42,2,1,2
43,4,0,5
44,1,0,2
45,4,0,3
46,2,1,0
47,0,0,0
48,6,1,3
49,4,0,2
50,1,0,0
51,2,1,3
52,5,0,1
53,9,0,0
54,3,0,4
55,3,0,0
56,1,0,3
57,3,0,3
58,4,1,1
59,2,0,0
60,5,0,5
61,0,0,4
62,2,1,2
63,2,0,3
64,1,1,0
65,1,1,5
66,2,1,2
67,0,1,2
68,1,0,4
69,1,0,3
70,0,0,4
71,3,0,1
72,1,0,3
73,4,0,2
74,3,0,0
75,0,0,0
76,1,0,4
77,0,0,3
78,1,0,1
79,3,0,1
80,3,0,1
81,2,0,0
82,1,0,3
83,1,0,2
84,1,0,0
85,1,0,0
86,2,0,3
87,1,0,0
88,0,0,0
89,3,0,0
90,4,1,0
91,1,0,0
92,5,1,0
93,3,0,0
94,3,0,0
95,2,1,4
96,1,1,1
97,2,2,0
98,2,2,3
99,0,0,2
100,3,1,0
101,9,0,1
102,1,3,0
103,3,3,1
104,1,0,1
105,1,5,3
106,4,3,1
107,1,5,2
108,8,3,1
109,1,7,1
110,6,10,1
111,3,7,2
112,8,7,2
113,3,13,3
114,10,13,2
115,6,22,2
116,5,25,2
117,10,22,0
118,15,25,1
119,10,35,2
120,9,33,4
121,27,40,3
122,17,41,1
123,34,42,3
124,35,37,4
125,39,46,1
126,40,69,3
127,48,78,0
128,43,79,3
129,59,109,3
130,81,131,4
131,91,137,2
132,102,157,1
133,135,187,3
134,155,247,2
135,200,296,6
136,219,292,2
137,212,339,3
138,309,373,2
139,328,419,3
140,374,464,4
141,447,491,6
142,458,468,5
143,498,483,6
144,532,457,9
145,490,501,6
146,504,413,11
147,464,383,16
148,455,361,10
149,445,328,21
150,378,299,19
151,354,261,20
152,343,248,26
153,291,199,32
154,243,187,38
155,244,186,36
156,189,169,42
157,154,119,47
158,142,120,69
159,134,98,68
160,116,88,81
161,85,58,118
162,63,44,131
163,28,20,173
164,31,22,182
165,14,9,213
166,6,3,273
167,4,3,323
168,1,1,350
169,1,0,407
170,0,0,466
171,0,0,515
172,0,0,565
173,0,0,562
174,0,0,522
175,0,0,527
176,0,0,485
177,0,0,521
178,0,0,446
179,0,0,405
180,0,0,381
181,0,0,332
182,0,0,277
183,0,1,214
184,0,0,198
185,0,0,137
186,0,0,129
187,0,1,109
188,0,1,70
189,0,0,36
190,0,1,43
191,0,0,22
192,0,0,16
193,0,0,9
194,0,2,2
195,0,0,3
196,0,0,1
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,2,0
203,0,1,0
204,0,0,0
205,0,2,0
206,0,1,0
207,0,3,0
208,0,1,0
209,0,1,0
210,0,4,0
211,0,2,0
212,0,0,0
213,0,4,0
214,0,2,0
215,0,1,0
216,0,2,0
217,0,6,0
218,0,5,0
219,0,3,0
220,0,2,0
221,0,1,0
222,0,3,0
223,0,4,0
224,0,1,0
225,0,1,0
226,0,1,0
227,0,2,0
228,0,4,0
229,0,3,0
230,0,3,0
231,0,5,0
232,0,3,0
233,0,1,0
234,0,2,0
235,0,4,0
236,0,3,0
237,0,2,0
238,0,2,0
239,0,1,0
240,0,1,0
241,0,2,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,1,0
249,0,1,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
