bin, Red Channel, Green Channel, Blue Channel
0,1263,689,1176
1,234,233,21
2,40,153,183
3,132,57,33
4,47,40,119
5,16,26,64
6,29,20,15
7,9,18,18
8,6,17,9
9,4,10,5
10,11,14,7
11,9,18,1
12,6,9,6
13,10,13,5
14,12,20,5
15,12,25,5
16,12,22,3
17,7,25,10
18,15,8,2
19,14,13,8
20,24,9,8
21,24,9,7
22,24,16,11
23,20,6,12
24,21,16,12
25,25,14,10
26,23,10,17
27,27,7,14
28,22,15,7
29,19,10,18
30,22,15,12
31,23,13,11
32,23,13,11
33,19,12,13
34,20,11,15
35,21,13,13
36,20,23,25
37,23,22,16
38,15,13,14
39,15,15,18
40,14,19,15
41,21,14,12
42,18,23,13
43,19,16,12
44,18,12,13
45,19,13,11
46,16,15,17
47,16,14,11
48,19,20,13
49,14,26,13
50,24,23,9
51,14,27,13
52,15,16,10
53,27,14,9
54,21,23,13
55,26,28,15
56,17,15,7
57,21,35,11
58,21,26,7
59,18,33,14
60,24,38,11
61,17,49,9
62,14,46,9
63,16,59,14
64,10,39,5
65,25,64,12
66,17,65,10
67,27,61,10
68,31,71,10
69,21,65,14
70,22,56,13
71,30,68,5
72,20,87,6
73,23,87,11
74,27,88,9
75,25,99,7
76,37,114,5
77,31,99,5
78,43,128,8
79,39,134,3
80,37,132,8
81,39,136,10
82,34,154,4
83,45,149,7
84,42,125,5
85,47,164,3
86,54,163,4
87,47,141,5
88,57,176,6
89,64,160,6
90,66,165,9
91,77,135,3
92,66,145,5
93,71,148,7
94,69,130,5
95,91,146,2
96,114,146,11
97,100,114,3
98,108,99,6
99,115,106,5
100,105,98,5
101,123,107,4
102,98,99,5
103,116,87,4
104,130,73,4
105,133,82,6
106,125,63,11
107,125,70,4
108,128,66,6
109,124,55,4
110,109,69,8
111,145,40,6
112,122,36,2
113,121,31,6
114,107,33,7
115,114,32,7
116,101,23,9
117,121,18,7
118,114,28,1
119,117,16,3
120,120,17,1
121,98,13,6
122,101,15,7
123,98,8,7
124,73,11,3
125,88,3,7
126,93,8,4
127,87,7,7
128,76,5,4
129,74,8,8
130,66,1,3
131,60,3,7
132,54,2,2
133,42,2,3
134,39,2,8
135,42,1,4
136,43,2,9
137,31,0,3
138,22,0,3
139,28,0,10
140,20,1,5
141,25,0,8
142,25,0,5
143,18,1,1
144,10,0,4
145,9,0,6
146,10,0,8
147,8,0,5
148,10,1,4
149,10,0,6
150,11,0,8
151,4,0,4
152,3,1,5
153,7,0,3
154,3,0,8
155,7,0,4
156,5,0,12
157,5,0,3
158,3,0,9
159,2,0,12
160,1,0,12
161,2,0,3
162,5,0,9
163,1,0,6
164,3,0,9
165,2,0,9
166,0,0,5
167,0,0,5
168,1,0,4
169,0,0,5
170,1,0,5
171,1,0,9
172,0,0,7
173,1,0,5
174,0,0,5
175,0,0,6
176,0,0,7
177,0,0,4
178,0,1,12
179,0,0,13
180,0,0,15
181,0,0,10
182,0,0,12
183,0,3,17
184,0,0,9
185,0,0,19
186,0,1,25
187,0,0,17
188,0,2,30
189,0,1,18
190,0,3,27
191,0,2,21
192,0,1,22
193,0,6,25
194,0,4,29
195,0,1,25
196,0,5,36
197,0,2,35
198,0,4,31
199,0,4,32
200,0,6,41
201,0,6,41
202,0,5,42
203,0,10,46
204,0,4,33
205,0,11,51
206,0,9,48
207,0,11,63
208,0,10,60
209,0,11,65
210,0,4,66
211,0,7,83
212,0,9,78
213,0,15,72
214,0,8,75
215,0,13,92
216,0,12,84
217,0,26,114
218,0,10,112
219,0,10,117
220,0,17,115
221,0,19,127
222,0,17,115
223,0,18,129
224,0,15,113
225,0,16,111
226,0,13,136
227,0,20,116
228,0,23,132
229,0,7,126
230,0,13,112
231,0,19,143
232,0,21,146
233,0,17,135
234,0,24,134
235,0,13,115
236,0,32,134
237,0,19,115
238,0,16,114
239,0,20,128
240,0,19,110
241,0,19,87
242,0,16,91
243,0,13,84
244,0,6,89
245,0,7,87
246,0,2,68
247,0,7,67
248,0,0,80
249,0,2,58
250,0,3,49
251,0,2,44
252,0,2,36
253,0,9,42
254,0,8,37
255,0,60,139
