bin, Red Channel, Green Channel, Blue Channel
0,2,0,2
1,0,0,0
2,0,0,0
3,1,0,0
4,0,0,0
5,0,0,0
6,0,0,1
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,1,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,1,0,1
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,1
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,1,0,0
27,2,0,0
28,0,0,0
29,1,0,0
30,1,0,2
31,0,0,0
32,0,0,1
33,1,0,0
34,0,0,1
35,0,0,0
36,0,0,1
37,0,0,1
38,0,0,0
39,1,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,1
48,0,0,0
49,1,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,1
54,0,0,0
55,2,0,0
56,1,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,1
61,0,0,0
62,0,0,0
63,2,0,1
64,0,0,0
65,0,0,1
66,1,0,0
67,1,0,0
68,0,0,0
69,1,0,0
70,1,0,0
71,0,0,0
72,0,0,0
73,0,0,1
74,0,0,0
75,0,0,1
76,0,0,0
77,0,0,1
78,0,0,2
79,0,0,0
80,0,0,1
81,1,0,0
82,1,0,0
83,0,0,0
84,2,0,0
85,1,0,0
86,0,0,0
87,0,0,0
88,0,0,1
89,1,0,0
90,0,0,0
91,0,0,1
92,0,0,0
93,0,0,1
94,0,0,2
95,0,0,0
96,0,0,0
97,1,0,0
98,0,0,0
99,1,0,0
100,0,0,1
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,1,0,0
108,1,0,1
109,0,0,0
110,0,0,1
111,1,0,0
112,0,0,0
113,1,0,0
114,0,0,0
115,1,0,0
116,0,0,0
117,0,0,0
118,1,0,0
119,0,0,0
120,0,0,1
121,0,0,0
122,0,1,0
123,0,0,1
124,0,0,0
125,0,0,0
126,2,0,0
127,0,0,0
128,2,0,1
129,0,0,1
130,0,0,1
131,0,0,0
132,1,1,0
133,1,0,0
134,1,0,1
135,0,2,0
136,1,0,0
137,1,0,0
138,1,0,0
139,2,1,1
140,1,0,1
141,2,0,0
142,3,2,0
143,3,2,0
144,2,5,0
145,3,2,0
146,2,4,0
147,3,4,1
148,0,2,1
149,6,3,2
150,5,2,0
151,11,5,1
152,8,15,0
153,7,12,1
154,7,9,1
155,15,7,0
156,5,11,1
157,16,7,0
158,17,19,0
159,17,12,6
160,18,24,2
161,19,22,3
162,27,17,3
163,31,21,1
164,32,31,1
165,22,35,3
166,56,22,1
167,38,56,4
168,49,40,3
169,38,47,6
170,33,46,12
171,39,31,8
172,47,37,7
173,35,51,8
174,36,34,14
175,35,42,9
176,44,42,15
177,38,31,8
178,20,38,18
179,32,32,17
180,53,20,19
181,27,42,20
182,28,32,29
183,35,30,36
184,36,30,30
185,32,33,48
186,34,31,22
187,35,24,52
188,33,38,55
189,27,45,44
190,39,31,47
191,37,29,53
192,36,40,36
193,35,40,44
194,47,31,42
195,38,39,35
196,50,44,49
197,46,49,46
198,52,58,31
199,57,54,43
200,64,59,26
201,61,65,25
202,71,75,34
203,71,89,46
204,86,88,45
205,112,94,35
206,112,100,35
207,112,149,47
208,163,141,42
209,171,137,41
210,157,187,40
211,181,201,50
212,198,190,44
213,227,224,55
214,251,245,59
215,297,300,64
216,323,353,78
217,348,465,78
218,393,560,81
219,438,748,99
220,630,823,102
221,731,906,128
222,815,782,152
223,703,579,139
224,713,415,151
225,462,250,187
226,260,110,192
227,134,52,233
228,54,20,237
229,13,6,244
230,2,4,283
231,0,1,324
232,0,0,394
233,0,0,474
234,0,1,576
235,0,2,716
236,0,1,831
237,0,1,811
238,0,1,747
239,0,1,512
240,0,0,288
241,0,0,167
242,0,1,75
243,0,0,22
244,0,0,11
245,0,0,3
246,0,0,1
247,0,0,0
248,0,1,0
249,0,1,0
250,0,1,0
251,0,0,0
252,0,0,0
253,0,1,0
254,0,1,0
255,0,2,0
