bin, Red Channel, Green Channel, Blue Channel
0,1205,803,1087
1,156,187,23
2,30,126,140
3,73,81,30
4,36,46,74
5,9,48,45
6,21,56,10
7,9,35,20
8,2,42,3
9,3,47,3
10,9,45,2
11,4,49,3
12,11,66,3
13,5,38,4
14,4,78,6
15,12,58,3
16,11,59,4
17,10,79,3
18,17,68,7
19,17,81,10
20,20,74,6
21,13,82,10
22,19,93,13
23,8,78,11
24,22,81,18
25,20,88,9
26,29,86,15
27,16,102,10
28,16,87,9
29,16,132,15
30,18,103,12
31,23,110,8
32,20,108,12
33,16,117,23
34,12,104,17
35,17,139,14
36,19,121,13
37,12,134,8
38,8,109,9
39,17,148,10
40,14,124,7
41,12,133,13
42,18,131,9
43,13,142,19
44,19,124,15
45,20,125,13
46,15,116,14
47,14,123,13
48,9,120,12
49,25,120,9
50,24,111,11
51,20,140,13
52,16,82,19
53,23,103,12
54,19,103,15
55,16,102,11
56,21,79,11
57,19,101,7
58,23,73,9
59,11,74,9
60,12,61,7
61,18,43,9
62,15,56,15
63,16,40,10
64,16,42,15
65,13,39,9
66,14,34,12
67,16,29,11
68,21,34,10
69,28,20,12
70,19,25,6
71,33,16,10
72,33,11,7
73,25,18,9
74,32,11,9
75,29,12,8
76,36,12,11
77,40,8,10
78,33,9,5
79,49,4,14
80,44,4,8
81,37,2,9
82,64,10,11
83,68,3,5
84,66,1,6
85,70,3,6
86,63,5,4
87,81,1,9
88,87,1,5
89,88,2,4
90,103,5,4
91,101,4,7
92,121,2,3
93,151,0,1
94,119,1,4
95,116,0,5
96,137,1,7
97,118,1,4
98,138,1,3
99,156,0,7
100,130,0,4
101,131,1,11
102,137,1,2
103,140,0,3
104,154,1,6
105,141,0,7
106,126,1,1
107,150,0,7
108,138,0,5
109,151,1,6
110,136,0,8
111,116,0,6
112,124,0,11
113,113,0,8
114,102,0,6
115,129,0,12
116,117,0,6
117,91,0,11
118,89,0,6
119,66,0,7
120,63,0,5
121,67,0,11
122,54,0,10
123,48,0,6
124,45,0,9
125,28,0,2
126,32,0,9
127,23,0,7
128,18,0,10
129,17,0,4
130,17,0,5
131,23,0,8
132,12,0,10
133,6,0,4
134,8,0,9
135,11,0,9
136,6,0,7
137,4,0,10
138,3,0,10
139,7,0,11
140,0,0,19
141,4,0,6
142,2,0,7
143,0,0,7
144,2,0,18
145,1,0,11
146,0,0,16
147,0,0,14
148,0,0,18
149,0,0,22
150,0,0,17
151,0,0,15
152,0,0,18
153,0,0,27
154,0,0,28
155,0,0,29
156,0,0,25
157,0,0,45
158,0,0,35
159,0,0,40
160,0,0,37
161,0,0,42
162,0,0,43
163,0,0,27
164,0,0,49
165,0,0,46
166,0,0,46
167,0,0,45
168,0,0,50
169,0,0,77
170,0,0,67
171,0,0,62
172,0,0,63
173,0,0,72
174,0,0,74
175,0,0,86
176,0,0,86
177,0,0,108
178,0,0,88
179,0,0,108
180,0,1,97
181,0,0,103
182,0,2,112
183,0,5,119
184,0,3,121
185,0,5,122
186,0,0,110
187,0,2,129
188,0,6,121
189,0,3,117
190,0,5,137
191,0,5,122
192,0,6,120
193,0,3,107
194,0,3,111
195,0,4,100
196,0,2,102
197,0,4,104
198,0,1,101
199,0,6,98
200,0,3,91
201,0,4,84
202,0,4,76
203,0,9,82
204,0,5,88
205,0,10,71
206,0,12,66
207,0,8,57
208,0,12,56
209,0,7,50
210,0,11,38
211,0,7,58
212,0,15,45
213,0,9,43
214,0,9,37
215,0,9,34
216,0,18,33
217,0,15,37
218,0,13,22
219,0,19,26
220,0,15,23
221,0,16,18
222,0,18,11
223,0,16,11
224,0,12,8
225,0,12,12
226,0,10,7
227,0,9,7
228,0,14,10
229,0,11,3
230,0,12,4
231,0,13,9
232,0,15,5
233,0,20,2
234,0,17,3
235,0,30,2
236,0,23,2
237,0,20,1
238,0,14,1
239,0,21,1
240,0,19,0
241,0,15,0
242,0,8,0
243,0,10,1
244,0,9,0
245,0,4,0
246,0,2,0
247,0,5,0
248,0,4,0
249,0,3,0
250,0,4,0
251,0,2,0
252,0,7,0
253,0,7,0
254,0,9,0
255,0,63,0
