# Cyanide Concentration,R,G,B,R_std,G_std,B_std,H,S,V,H_std,S_std,V_std,L,a,b,L_std,a_std,b_std,Gray,Gray_std
40ppm,73.43737086776859,53.07218491735537,130.40973657024793,43.220493483191966,62.162058106667565,75.80588120482818,110.56947314049587,197.78305785123968,150.36324896694214,40.073248763457606,53.52286906127485,71.87553914696817,81.40482954545455,156.9761105371901,91.72791838842976,52.114530702609,42.02876907936544,43.408852516070205,67.99173553719008,39.94215773786521
50ppm,74.76744186046511,53.01433207138994,128.6473769605192,43.57507834390115,62.36508909308111,74.01561523002422,111.76230394808005,199.81503515413738,148.65116279069767,39.152421793290245,50.308866146955395,70.64664238336644,81.62709572742023,156.6211465657112,92.90346133044889,51.83889885560278,42.176850957803325,42.79789352948467,68.15778799351,39.56004818381182
60ppm,75.15211776859505,52.06831095041322,130.0706353305785,44.28611428016368,62.557437309613995,76.00688818087036,110.86751033057851,198.32631714876032,150.17858987603304,40.749825814664696,54.561319185017275,72.07356600451092,81.60795454545455,157.51226756198346,92.05152376033058,52.19950621530725,42.42551024743081,43.410495637105385,67.87693698347107,39.93560111845457
70ppm,72.85782541322314,52.817923553719005,128.06869834710744,42.93071799714642,62.24127572562145,74.25864261941233,110.40986570247934,197.88055268595042,147.94369834710744,40.23939064763168,53.32125334003684,70.95430290535619,80.6536673553719,156.2942923553719,92.66825929752066,52.04070434833838,41.626639997787926,42.79566992615763,67.40198863636364,39.86063922043717
80ppm,75.29434829637643,52.35492157923202,134.57733910221742,43.64258846379623,62.09585540407056,76.90899565745612,111.44199567333693,201.4491617090319,154.10505678745267,39.16351245700128,50.21208115795878,72.41642893297461,82.664548404543,158.48296376419685,90.06787452677123,51.6499098627546,42.72566287263668,43.88592371781859,68.60654407787993,39.52749083283134
90ppm,75.41427798810167,54.04110329908058,130.92739318550568,43.61785947587866,61.722607695914895,75.05306038165844,111.62222823147647,199.05097349918876,150.6453488372093,39.026205133022366,48.77339100324572,71.25336494478398,82.46606273661439,157.0162249864792,92.11100594916171,51.7542013847352,41.97459901270203,42.941846082333974,69.20970795024337,39.63506074023675
100ppm,84.6399405083829,59.414007571660356,142.24675500270416,48.26791129056043,60.5715078178798,80.57746951083209,111.94862087614926,193.28961600865333,161.53042184964846,39.53703221920771,50.20715017753308,74.52539590148514,89.78244997295836,159.0662520281233,90.11857760951865,51.911551855667106,42.75152646012693,43.52989406818498,76.4118442401298,40.50545223408171
0ppm,96.94258034026466,80.63303402646503,182.01004253308128,58.922003263451074,59.62343256023912,105.25853273225478,110.03957939508507,186.18076559546313,199.79430529300566,35.6744888755798,47.992067993993956,93.89090475110207,110.13835066162571,161.17745746691872,80.76358695652173,57.469161401690215,43.40485849949994,47.892722769927246,97.08707466918715,49.163571965034784
10ppm,103.4187925170068,85.48058390022676,185.7925170068027,59.35890427270215,59.95176554677992,103.64083487581225,109.4280045351474,177.64172335600907,205.08219954648527,37.66054715637962,52.441229220910834,90.57957151650905,115.72406462585035,161.1751700680272,81.61975623582767,56.05490322885076,44.89172772283997,48.420061769890275,102.29407596371883,47.25942297726337
20ppm,57.92828798185941,48.58290816326531,166.7752267573696,34.26783121937285,65.49396241357688,94.597943453126,107.40079365079364,214.94940476190476,186.39937641723355,36.521501749970064,51.27998948005219,84.259834738611,85.92531179138322,166.1234410430839,73.15263605442176,52.35497683769929,47.69255856134661,53.76453108827343,64.86167800453515,39.85667882071218
30ppm,63.948412698412696,48.95748299319728,152.51006235827666,37.22775177224138,65.41710455776352,86.01950393648585,108.25722789115646,211.702947845805,172.4185090702948,38.133359147126775,51.505428377093786,77.85038665049778,83.56079931972789,162.77154195011337,79.82468820861678,52.243778607753505,45.84865811460976,50.079885360324454,65.25113378684807,39.8316948666271
40ppm,61.527988101676584,47.02244456462953,153.2967820443483,36.51066360462444,64.20658404390137,86.9574452872707,108.13818280151433,213.91333153055706,172.15129799891832,37.74667700369265,50.32371606706073,79.31251357998795,81.8331530557058,163.53826392644672,78.5282585181179,51.954990129019194,45.46250538406585,50.036194436093226,63.48512709572742,39.77548770093229
50ppm,63.758006198347104,44.61841425619835,150.58277376033058,38.66759851008531,65.08462130598339,85.89938087112031,108.44498966942149,214.9192923553719,169.83367768595042,39.00873459483114,53.88869832865784,78.43546639461476,81.1955061983471,163.84284607438016,79.63236053719008,52.115702893371875,45.794348824448114,49.69492457192038,62.429881198347104,39.71171281884663
60ppm,65.60501700680273,47.51629818594105,152.7389455782313,38.69814243169961,65.70019056663065,86.0828889308941,109.01856575963718,213.67176870748298,172.5983560090703,38.05761268397856,51.30278352635406,77.93056256906726,83.65532879818593,163.52097505668934,79.765589569161,52.2169073012932,46.20276728911065,50.07033075855856,64.93268140589569,39.754356682461435
70ppm,67.01695419393218,47.767995240928016,153.4092801903629,39.0414293350586,65.69020146714989,85.78952501764849,110.13697204045211,217.63355145746579,173.30368828078525,36.35352731657196,43.245211126372645,77.42278864613824,84.30681142177275,163.67801903628794,79.785246876859,52.035986678289454,46.35236699584417,50.01974014920528,65.57688875669244,39.675065647124356
80ppm,62.57738095238095,47.8827947845805,155.94727891156464,36.9446438689143,65.65828582617245,87.91537010018165,108.32128684807256,214.140589569161,175.75538548752834,37.34351826480613,51.12706279228044,79.2461038937208,83.86196145124717,163.9124149659864,78.03968253968254,52.20868799176669,46.497963821219244,51.02920733520914,64.60856009070295,39.67293089751781
90ppm,59.63494318181818,46.700929752066116,150.37719524793388,36.88439084859021,64.81861348481807,87.11199777640377,107.52401859504133,213.09142561983472,169.96177685950414,37.971623696715206,53.379040470993594,79.43512046552014,80.77776342975207,162.7239152892562,79.48760330578513,52.541763852356176,45.48053764075352,50.27341927067372,62.394369834710744,40.00623917399252
100ppm,83.789345592212,54.002298539751216,169.2574364521363,48.09422904626337,62.098670330405064,96.89212319472415,110.263115197404,208.02271498107086,188.11465657111953,38.59227172244472,48.912328970815395,86.57811490142737,93.90859924283396,167.44808004326663,77.19240129799891,52.45357242120799,47.43594790838011,50.62827981210122,76.06381828015144,40.75106112646523
0ppm,137.73902376033058,107.18904958677686,186.06443698347107,80.30163432384184,60.51652371447937,103.62605912558845,113.47598140495867,152.8021694214876,204.47856404958677,40.706096000715775,58.016291665353755,91.10946131619085,134.95235020661158,157.5830320247934,93.95738636363636,62.62004320589982,41.77095067817935,40.68158001691966,125.33458161157024,57.79463019449776
10ppm,139.41914548404543,107.67915089237425,186.2002433747972,80.5434343359498,60.25146469124369,103.89721464700787,113.64954029204975,153.75865332612221,204.74283396430502,41.010593693379064,57.15310649441098,91.2907360861964,135.65670632774473,157.76095186587344,94.33829096809086,62.60934337586111,41.89659190898793,40.60810008927669,126.14021092482423,57.70794412094548
20ppm,90.01213842975207,65.93659607438016,170.27776342975207,53.54145934869024,60.333769339490225,97.02889171710142,110.11841425619835,193.2450929752066,189.09555785123968,38.67626685096093,51.76676427959313,86.60308856660701,100.02982954545455,164.03486570247935,80.55591425619835,53.83939340964828,45.421730464969926,48.490837121594204,85.04855371900827,43.55335343019765
30ppm,97.97959710743801,64.88558884297521,161.27453512396696,58.06510040786004,60.78832863050648,92.7260850653153,112.09826962809917,191.45919421487602,180.36596074380165,40.05150708957541,52.787141639713795,83.40810538435923,100.11092458677686,163.4325929752066,85.78112086776859,54.22523394468559,45.18748365901231,45.79592826265093,85.7892561983471,44.13370706667138
40ppm,98.71148126115408,69.46088637715646,166.9973230220107,56.44952981264595,60.76632952918347,94.1721229957477,112.76977989292088,193.56246281975015,187.05978584176086,37.11723877029819,44.64553494187563,83.24191571997993,103.78896490184414,163.07168352171325,84.58551457465794,53.66705800018813,46.039163953858626,47.247909328551586,89.34741225461035,43.159286833797054
50ppm,97.66115702479338,63.9661673553719,160.0077479338843,58.093184081076345,61.10193684271121,92.05030397938289,112.06611570247934,192.8644111570248,179.2652376033058,40.32170181153504,52.09979997070981,82.83391540652764,99.42097107438016,163.50180785123968,86.05810950413223,54.26855334839956,45.26272019782815,45.78165234531567,85.00542355371901,44.183135987716305
60ppm,100.65767045454545,64.28757747933884,161.73837809917356,59.88434907381648,60.682410370103206,92.35898758127905,112.38868801652893,191.80875516528926,180.80668904958677,40.53073782718357,52.6731008043677,82.96225961447325,100.82722107438016,164.32476756198346,85.95880681818181,54.15956159644292,45.650871768011655,45.65674608692278,86.2889979338843,44.09200037107793
70ppm,99.26627066115702,63.5260847107438,163.8729338842975,58.800304810458044,60.66666555248678,94.02374151159165,111.52737603305785,192.68930785123968,182.71939566115702,40.875937001608,53.3004025551164,84.47625103844753,100.46758780991736,164.79235537190084,84.5702479338843,54.10161260664987,45.781508855977094,46.31326054617476,85.67174586776859,43.99492771347544
80ppm,93.74380165289256,64.6381714876033,168.21203512396696,55.12987073747685,61.0861847940236,95.8622178102661,110.23669938016529,193.55371900826447,187.099173553719,40.1346216194405,53.10358908949099,85.66188416137786,100.29235537190083,164.47636880165288,81.8932076446281,53.95728111535379,45.70388385485094,47.75140715918318,85.1638688016529,43.767610166672284
90ppm,97.81882098431585,65.05327203893997,168.0713899405084,57.243142312616534,60.76549606931203,95.74533859626759,112.0915359653867,194.9122498647918,186.86695511087075,38.89364898804322,50.231233900183774,85.60656944887728,101.50419145484045,164.9159004867496,82.7913737155219,54.11279966786156,45.84794172211563,47.16980689756162,86.61181719848567,44.13207004166432
100ppm,106.53333333333333,61.86864197530864,178.34604938271605,63.27546088822494,59.67664952186717,101.88458674037413,114.07382716049382,201.9183950617284,196.29407407407408,38.15840902317604,45.46692877508869,90.88710098455792,104.58037037037037,170.03234567901234,79.13086419753087,54.84203429659363,47.70677867488882,48.314498608558196,88.52740740740741,44.952538641499444
0ppm,102.57333635129018,97.0109778180172,183.07163875056585,62.221092922631044,59.487504855612684,103.65841043517143,109.84223630602082,170.76448619284744,200.6627433227705,34.36176153971972,50.633426477387715,92.26232662543947,119.72691263014939,154.33703033046626,86.17904028972386,59.46772165246577,39.3404375045663,44.41945161764619,108.49852874603893,52.72518262081756
10ppm,106.29241493383743,96.80919187145558,185.35231568998108,62.86284210797427,59.06569230265501,103.45915138826402,109.61814744801512,169.13220699432893,202.937381852552,35.943185076838446,51.610830443253086,91.71793156857136,121.13232514177693,155.73865784499054,85.70085066162571,58.63818825165743,40.298012481000185,44.6315711669893,109.75437145557656,51.881620490208256
20ppm,63.61259259259259,60.059012345679015,151.8932098765432,39.31935771104772,60.35607898654018,86.4645439547427,108.28358024691359,200.6201234567901,170.32888888888888,35.39896702156968,44.75902022322185,79.2050704824095,86.30604938271605,158.2225925925926,82.35481481481482,52.24626432812661,41.892531031693785,47.17441797611773,71.59851851851852,40.860262295318776
30ppm,66.48777777777778,58.92172839506173,142.38074074074075,40.37424584014535,60.83246004020809,81.92794620776034,109.66074074074074,199.80604938271605,161.26814814814816,35.52738417913422,44.96247860075651,76.04215820823148,84.33197530864197,156.42913580246915,86.64197530864197,52.3971989619781,41.30323624057225,45.36796570431099,70.70901234567901,40.88389332723145
40ppm,64.71987654320988,58.09283950617284,148.27962962962962,39.52768899791161,60.81625248246787,84.47896928653118,109.43876543209876,202.34259259259258,166.80012345679012,34.90856597917989,44.51491954855435,77.76978641475817,84.92037037037036,158.2041975308642,83.57382716049382,52.14707552953069,41.985885719664,46.60564111905634,70.36481481481482,40.65796350741937
50ppm,67.14814814814815,57.431481481481484,143.21037037037038,41.296399601265904,61.013984404126084,81.69649759699563,109.85716049382717,201.5920987654321,161.99567901234568,35.881120133862346,44.911001558941905,75.79055191187648,84.15024691358025,157.43765432098766,86.02098765432099,52.16565511917882,41.754632352504935,45.40219773885804,70.12555555555555,40.55359707599893
