# Cyanide Concentration,coordinate,R,G,B,R_std,G_std,B_std,H,S,V,H_std,S_std,V_std,L,a,b,L_std,a_std,b_std,Gray,Gray_std,RGB-KMEANS
50p,1,131.6579,111.074,150.6396,16.290097224694517,15.338993578458789,17.436264274207364,135.1733,72.2252,152.4066,8.523289688260045,17.090953307525005,14.559666082709452,128.1639,144.3143,109.5866,13.798095404438977,9.041499627274225,8.62440145401407,121.8087,11.81158348021128,133.66090602311075,110.85018918089784,152.83669086818696,50.097902097902065,59.636363636363605,64.1188811188811,30.06410256410254,233.43589743589746,33.807692307692264
50p,1,127.2343,110.2127,148.0993,22.968474122370427,21.32843779347189,26.087112517678147,132.0622,77.4675,151.586,15.321825320763843,29.025990831494454,22.377761371504526,126.3591,142.9714,109.9776,20.049357775001173,12.771913797078337,12.175668287202965,119.6192,17.538916481926698,131.3257725522838,109.87732806159607,152.87535116012904,46.569444444444414,202.64814814814812,53.53703703703708,0.6473988439305884,13.433526011560673,0.8323699421966069
50p,1,129.8855,108.5457,149.03,17.870774738382217,16.412748444730394,18.958130182061733,135.0514,75.992,151.0345,10.59488357840708,19.95059738453964,15.739476158690923,125.9213,144.8475,109.1656,15.014143542340335,9.877208297388488,9.22759863886591,119.5683,13.471983339879841,136.93183791606367,112.68581765557165,155.97018813314037,119.61687413554634,96.4892807745505,139.86203319502076,33.959595959595916,140.15656565656568,40.73232323232318
50p,1,129.3276,109.1541,149.6287,15.749008801826227,15.235745901989832,16.353960875274222,134.7022,74.2061,151.401,8.28832402600188,16.752003545546426,13.387143048462582,126.2054,144.4731,108.9674,13.135205017052455,9.092132664562259,8.706982097144795,119.8336,11.23956009103559,135.17119341563782,112.49986282578877,155.2127572016461,24.961538461538495,196.94230769230768,31.038461538461462,117.1458173445894,96.29125095932464,138.74059861857253
50p,1,128.3324,108.8734,145.9374,22.7251822927782,20.93799351513893,25.42813562257367,133.8676,76.8413,149.3981,15.791721573026798,28.760349690328873,21.958064950946838,125.6015,143.5844,110.7925,19.664823867759406,12.793728019619614,11.963446148581102,118.9202,17.075861089854296,132.44469878264485,108.50244511497245,150.61752158984498,0.7085714285713607,14.485714285714238,1.0171428571428578,48.009345794392445,202.7196261682243,54.25700934579447
50p,1,129.9388,108.4271,149.6235,15.709883976656224,14.94561091391048,16.652787987301107,135.1701,75.8755,151.4911,9.422598685606854,17.43943232304309,13.520677527032436,125.9431,145.0918,108.7838,12.999979322675863,9.486019858718407,8.982185566998714,119.5687,11.109089985682894,135.8929166666667,111.58583333333335,155.38569444444445,118.97142857142859,96.64849624060155,139.9124060150376,32.10714285714292,169.7714285714286,37.79285714285719
50p,1,127.6376,108.7104,149.0027,15.919254575513264,15.136338125187345,17.028103027348642,133.7684,74.7738,150.8725,9.228313033268865,18.000884243836467,13.953717918533398,125.3731,144.0212,108.9026,13.32551298787405,9.358993031304168,8.959425943664025,118.9592,11.528735202093939,133.11080870917573,111.50518403317781,154.41977708657336,30.99310344827586,165.3241379310345,37.35172413793103,114.44553529686769,94.79102384291727,137.03038803179055
50p,1,128.1793,107.8713,147.2001,17.286016068198016,15.961194701838581,18.301138215695765,134.7044,74.8403,149.2035,10.564261481050155,19.940391067128044,15.223865729505105,124.823,144.2303,109.6197,14.544788448100578,9.78014631332272,9.148031040065398,118.4619,12.85887819329509,134.33570957095714,111.09504950495048,153.18798679867984,32.438502673796904,143.67914438502675,38.65775401069517,115.34137622877572,93.96782841823058,136.00223413762285
50p,1,130.9964,108.1272,148.2473,15.440446465047572,15.03637656352088,16.212308370802724,136.7249,74.2144,150.0157,8.571488784919456,16.500182806260057,13.330718416874612,125.8356,145.3125,109.5813,12.904192056847263,9.125318830046433,8.606252977341533,119.5336,10.920690044131828,116.26479438314945,92.62387161484456,134.20762286860582,136.07667974187018,110.866632924206,153.31772744527396,26.388349514563117,198.0679611650486,31.0
50p,1,126.8952,108.5917,145.3372,22.589847652430063,20.955128038501698,25.3246065351468,133.1472,76.6728,148.8085,15.612358315129718,29.003364290371557,21.93739792568845,124.9947,143.1408,110.7612,19.655581189830027,12.77194485424988,11.990086511781307,118.322,17.025079030653572,130.9830385015609,108.21404786680543,150.00832466181066,0.8678160919539977,13.620689655172455,1.3448275862069465,46.54629629629633,201.89814814814818,53.50925925925931
