# Cyanide Concentration,R,G,B,R_std,G_std,B_std,H,S,V,H_std,S_std,V_std,L,a,b,L_std,a_std,b_std,Gray,Gray_std
0,137.98015122873346,107.12996219281663,184.68501890359167,81.42185523321096,61.37548393734256,103.52637620199792,115.18549149338374,156.05694706994328,201.3258506616257,38.60044892456685,57.11539052248484,92.53386782520363,134.0150047258979,157.06226370510396,94.5788043478261,64.59386816222394,39.848143614314324,39.134721138273314,125.21160207939508,60.65011881031688
0,158.36962962962963,125.46506172839506,185.03987654320989,93.46384613544816,66.44943414232883,103.78392208784256,118.88407407407408,137.78530864197532,202.24506172839506,40.38910155156538,65.4007302142649,92.30448978049857,149.34222222222223,153.09617283950618,103.8788888888889,70.97354868079853,38.145714904819336,34.9757591363003,142.12074074074073,68.9622135894361
0,142.3374635568513,192.30226988754686,183.14035818408996,90.48973106731601,96.55407528119434,106.39336729539642,84.57923781757601,104.13848396501457,201.20481049562682,26.129321281963346,88.35218433822179,95.57375683959646,186.43388171595169,113.0387338608913,127.12234485630987,93.57615382928523,21.228712273771013,24.438635432247004,176.3350687213661,92.08485854552924
0,129.89402173913044,86.45297731568998,180.94896030245746,75.23852425033434,56.06394590851713,103.00635106163334,115.97530718336483,174.93005671077503,197.7494092627599,38.24107046886987,48.19277240515514,92.25504113833308,120.98936672967864,164.47140831758034,88.53071833648393,58.71779477973918,43.64250916201026,42.24695044591108,110.2359404536862,52.17811104817805
0,121.3230124391563,91.87141698215251,179.51406165494862,69.42247011488959,57.35243806660373,101.82224748797759,112.30394808004327,167.032990805841,197.4428069226609,39.504606608715456,52.290342074701144,90.6196017637133,121.38250405624662,159.7308004326663,89.28542455381287,58.12258229126226,42.5254751754074,42.94254602562175,110.69267171444024,51.26983311160046
0,96.95604914933837,79.61117674858222,182.0272920604915,58.90503680780105,58.778688630183574,105.23161661357116,110.19033553875236,186.08293950850663,198.78166351606805,35.7034102433718,48.056173043020856,94.63290712954178,109.23972117202268,161.52469281663517,80.42615784499054,57.41562458776498,42.78716069036886,47.26113936447168,96.49184782608695,49.41615581245865
0,137.74832128099175,106.08471074380165,186.07218491735537,80.28736520873781,60.09178846591299,103.61327160536655,113.44718491735537,152.66425619834712,203.37809917355372,40.892674102799745,58.06519635862577,91.99468782780676,133.97998450413223,157.953125,93.59839876033058,62.941217305913085,41.11258727802293,40.000414867658456,124.68840392561984,58.33691277733647
0,102.57639203259393,96.01312811226799,183.0740153915799,62.21611801824769,58.94078297980829,103.65424404263659,109.78157537347217,170.65391579900407,199.6682888184699,34.54803316830009,50.68546175959893,93.02205083438993,118.84732910819375,154.67258940697147,85.85445903123585,59.56187846359574,38.738376520340715,43.80166009584451,107.91263014938886,53.08194310115891
0,103.219,128.4753,175.925,68.99266800899933,74.56824250248896,107.86924017068073,99.4328,141.1139,193.1993,35.147134793038255,69.63197057954055,98.51428819978348,136.7982,134.788,101.3995,74.67500034656847,29.48442395570922,37.278225544545435,126.3457,69.7565752564588
10,139.69624291115312,106.03178166351607,185.75508034026464,82.1708750017285,60.97710652508538,103.49720282510607,116.1695415879017,157.73062381852552,202.3897684310019,38.16791405123382,56.22043207577343,92.33051910535299,134.12937145557655,158.3586956521739,94.0062618147448,64.23974962757582,40.472614080983256,39.44846107045854,125.2015595463138,60.1967710529798
10,156.83660207939508,121.33542060491493,185.00886105860113,93.62533741883453,65.59354813047416,103.79748801339056,118.54005198487712,140.72790642722117,201.91469754253308,40.96635512431159,64.01965410395847,92.49916237015732,146.66528827977316,154.83565689981097,102.29336011342156,70.3063095986953,38.814391585866176,35.72525084018761,139.22802457466918,68.22622001416278
10,142.98014322916666,195.60145399305554,184.861328125,88.9669903124595,95.18398390567994,105.93307245405246,86.01584201388889,106.30620659722223,204.466796875,24.601069888433635,87.55505453327851,94.04894572876071,189.28851996527777,112.11414930555556,127.59787326388889,91.92964634376311,21.99867793862059,25.387969878944944,178.66362847222223,90.4678781911217
