# Cyanide Concentration,coordinate,R,G,B,R_std,G_std,B_std,H,S,V,H_std,S_std,V_std,L,a,b,L_std,a_std,b_std,Gray,Gray_std
0.0,2.0,75.41666666666667,57.79395061728395,89.14465020576131,6.352528919535094,6.0716493057280525,6.466614363468554,136.77798353909466,90.05897119341564,89.14465020576131,1.3009136659987546,6.673397951352072,6.466614363468554,69.92958847736625,142.69283950617285,112.0722633744856,6.813067831510601,1.1277683813124315,0.8420687455154159,66.61555555555556,6.145230581983181
14.1,2.0,85.7479012345679,66.2325925925926,102.25757201646091,7.633642648014081,7.811857290259554,8.297278794719276,136.48407407407407,90.14995884773663,102.25757201646091,1.5010763368844557,7.048220151715372,8.297278794719276,80.25288065843621,144.20312757201646,110.04362139917696,8.421784330652356,1.0165014518970714,0.9353949637187972,76.2619341563786,7.785479511571091
21.7,2.0,85.11707818930041,67.74300411522634,97.59074074074074,9.552540321378038,8.895242733055195,10.248925345438009,136.64625514403292,78.43703703703703,97.59074074074074,6.941235765636907,8.702915561389673,10.248925345438009,80.52172839506173,141.84736625514404,113.24905349794238,9.926299270704137,1.4630179342630685,1.2935641115898566,76.34991769547325,9.202415932229057
32.5,2.0,97.86666666666667,80.98189300411524,117.80411522633744,10.106166833717333,10.066158735790777,10.749984483889127,133.7656790123457,80.11407407407408,117.80411522633744,1.1981881065509203,6.897133250201693,10.749984483889127,95.4217695473251,142.9769135802469,109.63506172839506,10.76052510245889,1.137624875441534,0.959846674617053,90.25197530864197,10.128337931169039
47.8,2.0,119.509670781893,101.09658436213992,137.11473251028806,12.076710651367648,13.656918856265095,12.544865909453812,135.49765432098766,68.62263374485597,137.1154320987654,2.3782827374099296,9.398977677296427,12.542126354145688,116.51255144032922,142.8427572016461,110.80777777777776,13.47499975142437,1.8683752715977036,1.1878114128751793,110.72226337448559,12.967090284804923
55.2,2.0,124.15526748971193,106.48197530864199,141.5466255144033,10.251911966658081,11.454096913107898,10.919569753280298,134.92230452674897,64.2059670781893,141.5466255144033,2.0481991931753076,6.729858481365041,10.919569753280298,121.78390946502059,142.1708230452675,111.34975308641977,11.306968481036504,1.4770490948992787,0.9080439688153721,115.7014403292181,10.97686342725685
62.0,2.0,117.44691358024693,100.45024691358024,132.20164609053498,13.301122874767211,9.564808471564497,13.9961447942559,135.64506172839506,61.06168724279835,132.20172839506174,2.8268912912347304,5.067950230546679,13.996114944723418,115.20020576131687,141.2460082304527,112.9588888888889,11.122521582444856,2.6346637207084016,2.03060314493502,109.16230452674898,11.104429118589445
70.3,2.0,145.64358024691356,140.2390534979424,170.29707818930044,8.520712229465216,10.476616177267202,9.015381107169832,125.23732510288066,45.77279835390947,170.29707818930044,2.7828204373154044,5.339692267732864,9.015381107169832,152.22654320987655,136.25617283950615,112.89843621399177,9.719669134726084,1.6378017547069668,0.9883498410521036,145.33197530864197,9.68955158382009
75.0,2.0,157.3464197530864,150.45242798353908,178.4348148148148,10.063242112319934,13.389506315093831,11.207038086566369,126.44995884773662,41.220452674897125,178.4348148148148,4.48247292385271,5.937912449146844,11.207038086566369,162.37629629629632,136.20362139917697,114.32958847736624,12.070072769527208,2.2708561676963415,1.177613284779259,155.70037037037036,12.062013676349421
89.3,2.0,151.28946502057613,141.1777777777778,169.86382716049383,8.663299845087911,10.713183997207366,9.121200067527864,130.30580246913578,43.44152263374485,169.86382716049383,2.8707628075284934,5.2611807032143565,9.121200067527864,154.1511111111111,137.54720164609054,114.21913580246913,9.875296826502828,1.6361184219598794,1.0247896656059912,147.46753086419753,9.859896876240091
112.0,2.0,156.9061316872428,152.97617283950618,179.96633744855967,8.040158685038842,9.384651174021556,8.376434218432761,124.19909465020577,38.63337448559671,179.96633744855967,2.650718021762904,3.6014554631122038,8.376434218432761,164.15333333333334,134.87576131687243,114.5369547325103,8.686612291994829,1.2318032320467527,0.7151006418908663,157.22185185185185,8.871668742748934
