# Cyanide Concentration,coordinate,R,G,B,R_std,G_std,B_std,H,S,V,H_std,S_std,V_std,L,a,b,L_std,a_std,b_std,Gray,Gray_std
10,4,153.8183951,137.6654321,163.6064198,6.828985601,7.251558547,7.042194402,138.6922222,40.49074074,163.6064198,1.59666744,2.791086022,7.042194402,151.8262963,139.0381481,116.5828395,6.978579208,0.7485964,0.736978708,145.4935802,7.097753654
10,5,166.9362963,154.6087654,180.2169136,5.381852553,5.495713005,4.805884804,134.4708642,36.26592593,180.2169136,1.728201947,2.754506869,4.805884804,167.3539506,137.4702469,116.1733333,5.113118248,0.83176367,0.762115315,161.1549383,5.25174342
10,6,147.18,138.1390123,166.1561728,6.894295011,7.356104982,7.035952131,129.5334568,43.09024691,166.1561728,1.843170015,3.609128165,7.035952131,150.9558025,136.9711111,114.4979012,7.003386987,0.997728284,0.872272774,144.1450617,7.111237434
10,7,136.8133333,121.6550617,150.407037,7.283939376,7.460300216,7.455737693,136.118642,48.83481481,150.407037,1.387910102,3.946352938,7.455737693,136.0709877,139.5811111,114.6355556,7.400568731,0.898950691,1.160042571,129.4795062,7.362816138
10,8,152.9546914,144.8597531,166.2267901,8.011738084,8.716584728,7.770015067,131.2464198,32.92185185,166.2267901,1.630350495,3.905449378,7.770015067,156.8264198,135.1881481,117.8440741,8.308287891,0.940006713,0.869941502,149.8524691,8.354053504
10,9,133.0067901,117.2837037,148.5606173,8.070588475,7.987104181,7.865389389,135.3355556,53.83506173,148.5606173,1.246028753,3.513951778,7.865389389,132.1407407,140.3780247,113.2007407,8.028587468,0.821056861,0.588951313,125.5961728,7.967589295
20,2,163.571358,150.2438272,181.3414815,5.718367149,6.073169504,5.405363845,132.9751852,43.80320988,181.3414815,1.374369091,2.790112979,5.405363845,163.8517284,139.068642,113.6471605,5.69126389,0.839446839,0.551046669,157.6693827,5.835360567
20,3,163.1602469,151.1088889,182.201358,6.762916307,6.643552151,6.068056262,131.6639506,43.58135802,182.201358,1.566125737,2.836651327,6.068056262,164.4312346,138.5904938,113.4985185,6.350665345,0.827510622,0.634889144,158.2261728,6.575653292
20,4,165.707284,151.8583951,182.4437037,5.458134379,5.424141044,5.336426521,133.8222222,42.76209877,182.4437037,1.401938693,1.602797104,5.336426521,165.5577778,139.087037,113.9783951,5.231268288,0.66589204,0.157613034,159.4032099,5.396719586
20,5,178.3332099,168.6154321,191.8823457,5.069098668,5.322872507,4.613384653,132.6971605,30.96222222,191.8823457,1.139099422,2.541809407,4.613384653,180.1196296,135.7687654,117.264321,4.916250188,0.653754367,0.754663588,174.2964198,5.093851246
